Invocação do Mal 4: O Último Ritual,2025,6.5/10,Paranormal investigators Ed and Lorraine Warren take on one last terrifying case involving mysterious entities they must confront.
A Hora do Mal,2025,7.6/10,"When all but one child from the same class mysteriously vanish on the same night at exactly the same time, a community is left questioning who or what is behind their disappearance."
Demon Slayer: Kimetsu no Yaiba - Castelo Infinito,2025,8.7/10,"The Demon Slayer Corps are drawn into the Infinity Castle, where Tanjiro and the Hashira face terrifying Upper Rank demons in a desperate fight as the final battle against Muzan Kibutsuji be... Read all"
O Clube do Crime das Quintas-Feiras,2025,6.5/10,"Four irrepressible retirees spend their time solving cold case murders for fun, but their casual sleuthing takes a thrilling turn when they find themselves with a real whodunit on their hand... Read all"
A Longa Marcha - Caminhe ou Morra,2025,7.4/10,"A group of teenage boys compete in an annual contest known as ""The Long Walk,"" in which they must maintain a certain walking speed or get shot."
Christy,2025,5.4/10,"Tells the story of Christy Martin, the most successful female boxer of the 90s."
A Paris Errada,2025,6.2/10,"A woman joins a dating show thinking it's in Paris, France for an art opportunity, but it's actually in Paris, Texas. She tries to get eliminated until falling for the bachelor, complicating... Read all"
Luta de Classes,2025,5.7/10,"When a titan music mogul is targeted with a ransom plot, he is jammed up in a life-or-death moral dilemma."
Corra que a Polícia Vem Aí!,2025,6.6/10,Only one man has the particular set of skills - to lead Police Squad and save the world.
Downton Abbey: O Grande Final,2025,7.8/10,"When Mary finds herself in a public scandal and the family faces financial trouble, the household grapples with the threat of social disgrace. The Crawleys must embrace change with the next ... Read all"
Superman,2025,7.2/10,"Superman must reconcile his alien Kryptonian heritage with his human upbringing as reporter Clark Kent. As the embodiment of truth, justice and the human way he soon finds himself in a world... Read all"
Guerreiras do K-Pop,2025,7.6/10,A world-renowned K-Pop girl group balance their lives in the spotlight with their secret identities as demon hunters.
No amor e na música,2025,6.5/10,"Vaani and Krish will have to navigate life, their problems, their insecurities to hopefully realise that only love can be the answer to everything."
F1: O Filme,2025,7.8/10,A Formula One driver comes out of retirement to mentor and team up with a younger driver.
"Honey, Não!",2025,5.3/10,"A dark comedy about small-town private investigator Honey O'Donahue, who delves into a series of strange deaths tied to a mysterious church."
Anônimo 2,2025,6.4/10,"Suburban dad Hutch Mansell, a former lethal assassin, is pulled back into his violent past after thwarting a home invasion, setting off a chain of events"
Thunderbolts*,2025,7.2/10,"After finding themselves ensnared in a death trap, an unconventional team of antiheroes must go on a dangerous mission that will force them to confront the darkest corners of their pasts."
Lilo & Stitch,2025,6.7/10,"A lonely Hawaiian girl befriends a runaway alien, helping to mend her fragmented family."
Coração de Lutador - The Smashing Machine,2025,8.8/10,"The story of mixed-martial arts and UFC champion, Mark Kerr."
Ladrões,2025,7.3/10,"Burned-out ex-baseball player Hank Thompson unexpectedly finds himself embroiled in a dangerous struggle for survival amidst the criminal underbelly of 1990s New York City, forced to navigat... Read all"
Número desconhecido: Catfishing na escola,2025,6.7/10,A teen girl and her boyfriend face persistent harassment from an unknown caller. Police investigating the months of torment discover a revelation that upends their initial assumptions.
Os Roses: Até que a Morte os Separe,2025,7.0/10,A tinderbox of competition and resentments underneath the façade of a picture-perfect couple is ignited when the husband's professional dreams come crashing down.
Tempo de Guerra,2025,7.2/10,"A platoon of Navy SEALs embark on a dangerous mission in Ramadi, Iraq, with the chaos and brotherhood of war retold through their memories of the event."
Pecadores,2025,7.6/10,"Trying to leave their troubled lives behind, twin brothers return to their hometown to start again, only to discover that an even greater evil is waiting to welcome them back."
